,neg,neu,pos,compound,word_count
153,0.0,0.417,0.583,0.4215,3
154,0.0,1.0,0.0,0.0,3
155,0.0,0.895,0.105,0.4019,26
156,0.151,0.67,0.179,0.128,14
157,0.0,0.526,0.474,0.4019,4
158,0.0,0.633,0.367,0.4404,6
159,0.0,0.806,0.194,0.5141,25
160,0.121,0.799,0.08,-0.3612,35
161,0.104,0.896,0.0,-0.296,23
162,0.0,0.912,0.088,0.5514,44
163,0.0,0.936,0.064,0.0772,22
164,0.0,0.86,0.14,0.0772,9
165,0.0,1.0,0.0,0.0,7
166,0.043,0.957,0.0,-0.2023,45
167,0.0,1.0,0.0,0.0,16
168,0.0,1.0,0.0,0.0,14
169,0.128,0.872,0.0,-0.296,16
170,0.0,1.0,0.0,0.0,12
171,0.243,0.757,0.0,-0.5927,17
172,0.0,1.0,0.0,0.0,10
173,0.0,1.0,0.0,0.0,5
174,0.0,0.256,0.744,0.4404,3
175,0.0,0.94,0.06,0.4019,46
176,0.0,1.0,0.0,0.0,44
177,0.0,0.833,0.167,0.2023,10
178,0.0,1.0,0.0,0.0,32
179,0.193,0.665,0.142,-0.4019,26
180,0.0,1.0,0.0,0.0,5
181,0.0,1.0,0.0,0.0,11
182,0.034,0.907,0.059,0.2732,44
183,0.18,0.82,0.0,-0.5106,17
184,0.0,0.814,0.186,0.1531,8
185,0.0,1.0,0.0,0.0,11
186,0.23,0.576,0.194,-0.128,10
187,0.0,0.853,0.147,0.6124,32
188,0.0,1.0,0.0,0.0,10
189,0.342,0.658,0.0,-0.3818,7
190,0.0,1.0,0.0,0.0,2
191,0.0,1.0,0.0,0.0,21
192,0.0,1.0,0.0,0.0,9
193,0.091,0.909,0.0,-0.296,24
194,0.0,1.0,0.0,0.0,9
195,0.0,0.887,0.113,0.4939,27
196,0.0,1.0,0.0,0.0,6
197,0.0,1.0,0.0,0.0,13
198,0.0,1.0,0.0,0.0,17
199,0.492,0.508,0.0,-0.4404,5
200,0.0,1.0,0.0,0.0,6
201,0.0,1.0,0.0,0.0,16
202,0.0,1.0,0.0,0.0,6
203,0.688,0.312,0.0,-0.296,2
204,0.167,0.781,0.053,-0.6597,45
205,0.13,0.87,0.0,-0.128,12
206,0.0,1.0,0.0,0.0,6
207,0.0,0.568,0.432,0.886,25
208,0.0,0.58,0.42,0.4404,7
209,0.0,1.0,0.0,0.0,5
210,0.0,1.0,0.0,0.0,4
211,0.301,0.639,0.059,-0.6486,19
212,0.0,1.0,0.0,0.0,3
213,0.172,0.828,0.0,-0.4404,19
214,0.0,0.256,0.744,0.4404,2
215,0.0,0.357,0.643,0.2023,2
216,0.121,0.741,0.137,0.2263,50
217,0.0,1.0,0.0,0.0,7
218,0.125,0.857,0.018,-0.8348,70
219,0.0,0.795,0.205,0.5984,23
220,0.083,0.917,0.0,-0.2023,25
221,0.0,0.833,0.167,0.7351,31
222,0.0,0.794,0.206,0.0772,7
223,0.0,1.0,0.0,0.0,4
224,0.0,0.939,0.061,0.128,25
225,0.051,0.802,0.146,0.8218,74
226,0.0,0.875,0.125,0.8201,57
227,0.0,0.767,0.233,0.8185,32
228,0.0,0.779,0.221,0.6249,20
229,0.147,0.853,0.0,-0.4767,19
230,0.681,0.319,0.0,-0.7501,5
231,0.0,1.0,0.0,0.0,29
232,0.0,0.551,0.449,0.6908,9
233,0.0,0.952,0.048,0.3182,51
234,0.307,0.693,0.0,-0.4767,8
235,0.13,0.777,0.093,-0.1779,18
236,0.091,0.909,0.0,-0.2263,20
237,0.0,0.851,0.149,0.6808,35
238,0.0,1.0,0.0,0.0,3
239,0.0,1.0,0.0,0.0,5
240,0.0,1.0,0.0,0.0,7
241,0.0,1.0,0.0,0.0,25
242,0.072,0.848,0.08,0.0772,36
243,0.0,0.87,0.13,0.2732,15
244,0.434,0.566,0.0,-0.6808,8
245,0.0,1.0,0.0,0.0,11
246,0.0,1.0,0.0,0.0,8
247,0.0,0.811,0.189,0.4201,13
248,0.0,1.0,0.0,0.0,1
249,0.063,0.794,0.143,0.4588,37
250,0.0,1.0,0.0,0.0,6
251,0.032,0.752,0.216,0.8442,39
252,0.0,0.737,0.263,0.3612,9
253,0.0,1.0,0.0,0.0,14
254,0.0,1.0,0.0,0.0,14
255,0.0,1.0,0.0,0.0,7
256,0.0,0.633,0.367,0.4404,6
257,0.437,0.563,0.0,-0.4767,5
258,0.0,0.814,0.186,0.4939,19
259,0.0,1.0,0.0,0.0,6
260,0.0,0.838,0.162,0.6597,35
261,0.213,0.787,0.0,-0.6808,21
262,0.0,0.455,0.545,0.5563,5
263,0.0,0.446,0.554,0.7351,8
264,0.0,0.839,0.161,0.3612,14
265,0.0,1.0,0.0,0.0,3
266,0.0,1.0,0.0,0.0,3
267,0.0,1.0,0.0,0.0,6
268,0.0,0.766,0.234,0.7269,22
269,0.0,1.0,0.0,0.0,6
270,0.0,1.0,0.0,0.0,3
271,0.0,1.0,0.0,0.0,3
272,0.0,1.0,0.0,0.0,2
273,0.0,1.0,0.0,0.0,2
274,0.0,1.0,0.0,0.0,3
275,0.0,1.0,0.0,0.0,1
276,0.0,1.0,0.0,0.0,4
277,0.0,1.0,0.0,0.0,2
278,0.0,0.548,0.452,0.5106,5
279,0.0,1.0,0.0,0.0,8
280,0.0,1.0,0.0,0.0,18
281,0.0,1.0,0.0,0.0,10
282,0.0,1.0,0.0,0.0,3
283,0.0,0.878,0.122,0.3612,23
284,0.0,1.0,0.0,0.0,3
285,0.697,0.303,0.0,-0.6808,3
286,0.0,0.828,0.172,0.4404,17
287,0.47,0.53,0.0,-0.7964,10
288,0.0,1.0,0.0,0.0,10
289,0.0,0.738,0.262,0.4939,10
290,0.246,0.754,0.0,-0.3832,9
291,0.535,0.465,0.0,-0.6808,7
292,0.0,0.706,0.294,0.3612,7
293,0.0,1.0,0.0,0.0,6
294,0.091,0.909,0.0,-0.4939,34
295,0.221,0.574,0.205,-0.0516,11
296,0.0,1.0,0.0,0.0,4
297,0.0,1.0,0.0,0.0,13
298,0.083,0.917,0.0,-0.4588,37
299,0.0,0.905,0.095,0.2732,23
300,0.1,0.844,0.056,-0.1779,37
301,0.0,1.0,0.0,0.0,11
302,0.0,0.898,0.102,0.3818,25
303,0.0,1.0,0.0,0.0,21
304,0.0,1.0,0.0,0.0,6
305,0.147,0.683,0.171,-0.0772,25
306,0.0,1.0,0.0,0.0,13
307,0.0,1.0,0.0,0.0,20
308,0.0,1.0,0.0,0.0,11
309,0.0,1.0,0.0,0.0,15
310,0.202,0.798,0.0,-0.6486,19
311,0.449,0.551,0.0,-0.7088,7
312,0.0,1.0,0.0,0.0,8
313,0.187,0.588,0.225,0.1779,14
314,0.0,1.0,0.0,0.0,18
315,0.248,0.752,0.0,-0.5106,11
316,0.0,1.0,0.0,0.0,3
317,0.0,0.789,0.211,0.8519,36
318,0.0,1.0,0.0,0.0,4
319,0.0,0.604,0.396,0.7096,12
320,0.0,1.0,0.0,0.0,18
321,0.0,1.0,0.0,0.0,10
322,0.111,0.889,0.0,-0.25,17
323,0.0,1.0,0.0,0.0,8
324,0.0,1.0,0.0,0.0,4
325,0.0,0.881,0.119,0.4019,22
326,0.0,1.0,0.0,0.0,16
327,0.0,1.0,0.0,0.0,10
328,0.0,0.896,0.104,0.4939,43
329,0.0,1.0,0.0,0.0,6
330,0.403,0.597,0.0,-0.4019,6
331,0.0,1.0,0.0,0.0,26
332,0.0,1.0,0.0,0.0,9
333,0.0,1.0,0.0,0.0,10
334,0.0,1.0,0.0,0.0,5
335,0.0,1.0,0.0,0.0,3
336,0.444,0.556,0.0,-0.7506,12
337,0.282,0.718,0.0,-0.6249,17
338,0.0,1.0,0.0,0.0,6
339,0.0,1.0,0.0,0.0,7
340,0.0,0.594,0.406,0.6249,7
341,0.0,1.0,0.0,0.0,2
342,0.0,1.0,0.0,0.0,2
343,0.0,0.647,0.353,0.7184,13
344,0.0,1.0,0.0,0.0,9
345,0.0,1.0,0.0,0.0,6
346,0.18,0.82,0.0,-0.296,12
347,0.0,1.0,0.0,0.0,19
348,0.0,1.0,0.0,0.0,13
349,0.0,1.0,0.0,0.0,8
350,0.315,0.685,0.0,-0.3182,7
351,0.0,0.714,0.286,0.25,6
352,0.0,1.0,0.0,0.0,10
