,neg,neu,pos,compound
148,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0
150,0.0,0.649,0.351,0.4019
151,0.0,1.0,0.0,0.0
152,0.269,0.607,0.124,-0.7184
153,0.145,0.855,0.0,-0.5267
154,0.187,0.813,0.0,-0.5994
155,0.273,0.727,0.0,-0.128
156,0.471,0.529,0.0,-0.197
157,0.0,1.0,0.0,0.0
158,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,0.0
160,0.0,0.843,0.157,0.0772
161,0.0,0.513,0.487,0.5859
162,0.0,1.0,0.0,0.0
163,0.0,0.591,0.409,0.6313
164,0.0,1.0,0.0,0.0
165,0.0,1.0,0.0,0.0
166,0.0,1.0,0.0,0.0
167,0.0,0.345,0.655,0.5859
168,0.0,1.0,0.0,0.0
169,0.0,1.0,0.0,0.0
170,0.0,0.872,0.128,0.3612
171,0.0,0.61,0.39,0.4927
172,0.286,0.714,0.0,-0.34
173,0.0,0.846,0.154,0.3724
174,0.126,0.874,0.0,-0.6369
175,0.0,0.896,0.104,0.296
176,0.0,1.0,0.0,0.0
177,0.097,0.766,0.137,0.2003
178,0.0,0.791,0.209,0.4404
179,0.371,0.629,0.0,-0.7096
180,0.703,0.297,0.0,-0.8573
181,0.241,0.759,0.0,-0.5859
182,0.549,0.451,0.0,-0.8074
183,0.0,1.0,0.0,0.0
184,0.0,1.0,0.0,0.0
185,0.0,1.0,0.0,0.0
186,0.0,1.0,0.0,0.0
187,0.037,0.8,0.163,0.8074
188,0.0,1.0,0.0,0.0
189,0.072,0.796,0.132,0.5849
190,0.0,0.633,0.367,0.4404
191,0.0,1.0,0.0,0.0
192,0.0,1.0,0.0,0.0
193,0.164,0.571,0.264,0.4215
194,0.0,0.748,0.252,0.7964
195,0.185,0.761,0.054,-0.7194
196,0.0,1.0,0.0,0.0
197,0.245,0.755,0.0,-0.3818
198,0.069,0.931,0.0,-0.4767
199,0.0,1.0,0.0,0.0
200,0.246,0.754,0.0,-0.7351
201,0.496,0.504,0.0,-0.871
202,0.267,0.568,0.165,-0.5574
203,0.0,1.0,0.0,0.0
204,0.0,1.0,0.0,0.0
205,0.0,1.0,0.0,0.0
206,0.0,1.0,0.0,0.0
207,0.194,0.752,0.053,-0.7906
208,0.0,1.0,0.0,0.0
209,0.0,0.839,0.161,0.3612
210,0.0,1.0,0.0,0.0
211,0.223,0.777,0.0,-0.6808
212,0.265,0.735,0.0,-0.2023
213,0.0,0.508,0.492,0.4404
214,0.078,0.922,0.0,-0.296
215,0.0,1.0,0.0,0.0
216,0.545,0.455,0.0,-0.34
217,0.0,0.775,0.225,0.4404
218,0.286,0.714,0.0,-0.34
219,0.0,1.0,0.0,0.0
220,0.0,0.566,0.434,0.3182
221,0.0,1.0,0.0,0.0
222,0.0,1.0,0.0,0.0
223,0.13,0.87,0.0,-0.34
224,0.0,1.0,0.0,0.0
225,0.0,1.0,0.0,0.0
226,0.0,1.0,0.0,0.0
227,0.0,0.75,0.25,0.25
228,0.0,1.0,0.0,0.0
229,0.0,0.86,0.14,0.0772
230,0.0,1.0,0.0,0.0
231,0.0,1.0,0.0,0.0
232,0.0,1.0,0.0,0.0
233,0.0,1.0,0.0,0.0
234,0.0,1.0,0.0,0.0
235,0.0,1.0,0.0,0.0
236,0.154,0.769,0.077,-0.2732
237,0.0,1.0,0.0,0.0
238,0.0,1.0,0.0,0.0
239,0.271,0.729,0.0,-0.3818
240,0.0,1.0,0.0,0.0
241,0.224,0.776,0.0,-0.3818
242,0.0,1.0,0.0,0.0
243,0.391,0.451,0.158,-0.7351
244,0.0,1.0,0.0,0.0
245,0.57,0.43,0.0,-0.3919
246,0.239,0.761,0.0,-0.7845
247,0.0,0.786,0.214,0.504
248,0.414,0.586,0.0,-0.8807
249,0.0,1.0,0.0,0.0
250,0.113,0.887,0.0,-0.3167
251,0.171,0.795,0.034,-0.5423
252,0.0,1.0,0.0,0.0
253,0.0,1.0,0.0,0.0
254,0.474,0.526,0.0,-0.743
255,0.233,0.651,0.116,-0.3612
256,0.0,1.0,0.0,0.0
257,0.231,0.769,0.0,-0.34
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.239,0.761,0.0,-0.296
261,0.0,1.0,0.0,0.0
262,0.0,1.0,0.0,0.0
263,0.0,0.882,0.118,0.4215
264,0.258,0.412,0.33,0.1779
265,0.0,1.0,0.0,0.0
266,0.0,0.853,0.147,0.6908
267,0.084,0.916,0.0,-0.3182
268,0.0,1.0,0.0,0.0
269,0.0,1.0,0.0,0.0
270,0.058,0.942,0.0,-0.2732
271,0.0,1.0,0.0,0.0
272,0.487,0.513,0.0,-0.2263
273,0.0,1.0,0.0,0.0
274,0.0,1.0,0.0,0.0
275,0.0,1.0,0.0,0.0
276,0.0,1.0,0.0,0.0
277,0.0,0.758,0.242,0.5908
278,0.0,0.943,0.057,0.3182
279,0.0,1.0,0.0,0.0
280,0.0,1.0,0.0,0.0
281,0.0,0.844,0.156,0.4717
282,0.0,1.0,0.0,0.0
283,0.0,1.0,0.0,0.0
284,0.0,0.894,0.106,0.3612
285,0.084,0.76,0.156,0.4404
286,0.089,0.855,0.057,-0.5417
287,0.088,0.912,0.0,-0.4019
288,0.034,0.966,0.0,-0.296
289,0.0,1.0,0.0,0.0
290,0.064,0.936,0.0,-0.1779
291,0.0,1.0,0.0,0.0
292,0.0,1.0,0.0,0.0
293,0.0,1.0,0.0,0.0
294,0.051,0.868,0.081,0.2617
295,0.13,0.87,0.0,-0.34
296,0.062,0.937,0.0,-0.296
297,0.164,0.787,0.049,-0.5423
298,0.0,1.0,0.0,0.0
299,0.0,1.0,0.0,0.0
300,0.131,0.869,0.0,-0.3412
301,0.42,0.58,0.0,-0.4391
302,0.0,1.0,0.0,0.0
303,0.391,0.609,0.0,-0.6705
304,0.109,0.891,0.0,-0.5106
305,0.317,0.345,0.338,-0.1779
306,0.156,0.844,0.0,-0.5423
307,0.0,1.0,0.0,0.0
308,0.0,1.0,0.0,0.0
309,0.0,1.0,0.0,0.0
310,0.104,0.896,0.0,-0.1027
311,0.0,1.0,0.0,0.0
312,0.0,1.0,0.0,0.0
313,0.0,1.0,0.0,0.0
314,0.0,0.838,0.162,0.4404
315,0.0,1.0,0.0,0.0
316,0.0,1.0,0.0,0.0
317,0.0,1.0,0.0,0.0
318,0.0,1.0,0.0,0.0
319,0.0,1.0,0.0,0.0
320,0.0,1.0,0.0,0.0
321,0.0,1.0,0.0,0.0
322,0.0,1.0,0.0,0.0
323,0.0,1.0,0.0,0.0
324,0.512,0.488,0.0,-0.6369
325,0.0,1.0,0.0,0.0
326,0.0,1.0,0.0,0.0
327,0.0,1.0,0.0,0.0
328,0.101,0.651,0.249,0.5423
329,0.0,0.834,0.166,0.3384
330,0.0,1.0,0.0,0.0
331,0.0,1.0,0.0,0.0
332,0.0,1.0,0.0,0.0
333,0.0,0.75,0.25,0.6124
334,0.0,1.0,0.0,0.0
335,0.0,0.613,0.387,0.5849
336,0.256,0.744,0.0,-0.7845
337,0.0,1.0,0.0,0.0
338,0.0,1.0,0.0,0.0
339,0.0,1.0,0.0,0.0
340,0.155,0.825,0.02,-0.8339
341,0.097,0.846,0.057,-0.2003
342,0.256,0.64,0.103,-0.4767
343,0.0,0.912,0.088,0.3612
344,0.153,0.847,0.0,-0.4404
345,0.0,1.0,0.0,0.0
346,0.0,0.735,0.265,0.2023
347,0.286,0.714,0.0,-0.34
348,0.492,0.508,0.0,-0.4404
349,0.0,0.784,0.216,0.0258
350,0.0,0.692,0.308,0.4588
351,0.0,0.58,0.42,0.4404
352,0.0,0.857,0.143,0.3612
353,0.0,0.86,0.14,0.0772
354,0.0,0.902,0.098,0.0772
355,0.0,1.0,0.0,0.0
356,0.0,1.0,0.0,0.0
357,0.0,1.0,0.0,0.0
358,0.0,0.861,0.139,0.5719
359,0.129,0.871,0.0,-0.5719
360,0.0,1.0,0.0,0.0
361,0.0,1.0,0.0,0.0
362,0.0,1.0,0.0,0.0
363,0.0,1.0,0.0,0.0
364,0.133,0.867,0.0,-0.7184
365,0.0,1.0,0.0,0.0
366,0.0,1.0,0.0,0.0
367,0.0,0.896,0.104,0.6124
368,0.0,1.0,0.0,0.0
369,0.0,0.8,0.2,0.4588
370,0.31,0.69,0.0,-0.743
371,0.0,1.0,0.0,0.0
372,0.0,1.0,0.0,0.0
373,0.117,0.854,0.029,-0.6369
374,0.15,0.794,0.056,-0.7553
375,0.271,0.614,0.116,-0.6486
376,0.0,1.0,0.0,0.0
377,0.06,0.94,0.0,-0.2023
378,0.039,0.92,0.041,0.0258
379,0.155,0.845,0.0,-0.5106
380,0.0,1.0,0.0,0.0
381,0.0,1.0,0.0,0.0
382,0.076,0.892,0.032,-0.4753
383,0.132,0.831,0.037,-0.7783
384,0.0,1.0,0.0,0.0
385,0.0,0.896,0.104,0.1027
386,0.0,0.795,0.205,0.2023
387,0.0,1.0,0.0,0.0
388,0.0,0.945,0.055,0.2732
389,0.0,0.709,0.291,0.7783
390,0.0,1.0,0.0,0.0
391,0.0,0.753,0.247,0.5574
392,0.107,0.761,0.132,0.128
393,0.0,0.8,0.2,0.3612
394,0.0,1.0,0.0,0.0
395,0.0,1.0,0.0,0.0
396,0.0,0.913,0.087,0.5994
397,0.0,1.0,0.0,0.0
398,0.167,0.833,0.0,-0.296
399,0.0,1.0,0.0,0.0
400,0.081,0.894,0.025,-0.6249
401,0.0,0.945,0.055,0.1027
402,0.0,1.0,0.0,0.0
403,0.0,1.0,0.0,0.0
404,0.0,0.691,0.309,0.7303
405,0.0,1.0,0.0,0.0
406,0.0,1.0,0.0,0.0
407,0.022,0.568,0.411,0.9758
408,0.236,0.625,0.139,-0.1027
409,0.148,0.74,0.112,-0.34
410,0.0,0.569,0.431,0.9163
411,0.083,0.764,0.153,0.81
412,0.0,1.0,0.0,0.0
413,0.0,1.0,0.0,0.0
414,0.0,1.0,0.0,0.0
415,0.05,0.788,0.162,0.5719
416,0.072,0.898,0.03,-0.4215
417,0.0,1.0,0.0,0.0
418,0.0,1.0,0.0,0.0
419,0.2,0.8,0.0,-0.25
420,0.0,1.0,0.0,0.0
421,0.0,0.896,0.104,0.5803
422,0.0,1.0,0.0,0.0
423,0.0,1.0,0.0,0.0
424,0.227,0.691,0.082,-0.7404
425,0.0,1.0,0.0,0.0
426,0.0,0.641,0.359,0.6808
427,0.0,1.0,0.0,0.0
428,0.0,0.441,0.559,0.5859
429,0.0,1.0,0.0,0.0
430,0.0,1.0,0.0,0.0
431,0.0,0.907,0.093,0.3313
432,0.0,1.0,0.0,0.0
433,0.225,0.775,0.0,-0.8555
434,0.0,1.0,0.0,0.0
435,0.0,1.0,0.0,0.0
436,0.583,0.417,0.0,-0.7906
437,0.0,1.0,0.0,0.0
438,0.0,0.811,0.189,0.2732
439,0.293,0.707,0.0,-0.4404
440,0.0,1.0,0.0,0.0
441,0.474,0.526,0.0,-0.4019
442,0.0,1.0,0.0,0.0
443,0.0,0.696,0.304,0.5423
444,0.0,1.0,0.0,0.0
445,0.0,1.0,0.0,0.0
446,0.0,1.0,0.0,0.0
447,0.16,0.84,0.0,-0.2263
448,0.0,0.541,0.459,0.5256
449,0.0,0.706,0.294,0.3612
450,0.0,1.0,0.0,0.0
451,0.182,0.77,0.048,-0.6868
452,0.479,0.521,0.0,-0.6808
453,0.0,0.762,0.238,0.3612
454,0.0,0.635,0.365,0.5574
455,0.355,0.645,0.0,-0.296
456,0.0,0.814,0.186,0.5859
457,0.0,1.0,0.0,0.0
458,0.0,1.0,0.0,0.0
459,0.0,0.867,0.133,0.3182
460,0.302,0.698,0.0,-0.3818
461,0.198,0.802,0.0,-0.5362
462,0.0,1.0,0.0,0.0
463,0.102,0.898,0.0,-0.6527
464,0.0,1.0,0.0,0.0
465,0.0,1.0,0.0,0.0
466,0.107,0.893,0.0,-0.0516
467,0.074,0.926,0.0,-0.0516
468,0.107,0.893,0.0,-0.0516
469,0.0,1.0,0.0,0.0
470,0.0,1.0,0.0,0.0
471,0.0,1.0,0.0,0.0
472,0.306,0.694,0.0,-0.6077
473,0.176,0.824,0.0,-0.4939
474,0.079,0.921,0.0,-0.2263
475,0.0,1.0,0.0,0.0
476,0.0,1.0,0.0,0.0
477,0.0,1.0,0.0,0.0
478,0.0,1.0,0.0,0.0
479,0.0,0.777,0.223,0.3182
480,0.0,1.0,0.0,0.0
481,0.0,1.0,0.0,0.0
482,0.0,1.0,0.0,0.0
483,0.0,0.81,0.19,0.4588
484,0.0,1.0,0.0,0.0
485,0.0,0.971,0.029,0.0935
486,0.0,0.633,0.367,0.4404
487,0.182,0.818,0.0,-0.5994
488,0.057,0.835,0.108,0.3612
489,0.0,1.0,0.0,0.0
490,0.0,0.895,0.105,0.7469
491,0.1,0.9,0.0,-0.0572
492,0.037,0.963,0.0,-0.0286
493,0.193,0.807,0.0,-0.7351
494,0.0,1.0,0.0,0.0
495,0.0,1.0,0.0,0.0
496,0.756,0.244,0.0,-0.4767
497,0.0,1.0,0.0,0.0
498,0.551,0.316,0.133,-0.765
499,0.0,1.0,0.0,0.0
500,0.0,0.824,0.176,0.6597
501,0.044,0.875,0.082,0.1531
502,0.0,1.0,0.0,0.0
503,0.167,0.833,0.0,-0.6597
504,0.0,0.744,0.256,0.4767
505,0.277,0.723,0.0,-0.3182
